trial type mov.direction cursor.rotation selector_angle selector_prop max_vel vmax_x vmax_y final_x final_y movement_overshoot overshoot_answer timestamp
97 active 0 -30.0 nan nan 0.3402519087256024 -0.05891582835574673 0.005698861431704394 -0.10422456548285332 0.08128183859596405 nan nan 1626982687.8539433
98 active 0 -30.0 nan nan 0.2971639895172793 -0.047733994671348506 -0.008099819011689324 -0.09672289901778645 0.08123451879091492 nan nan 1626982694.0606213
99 active 0 nan nan nan 0.37778348961637787 -0.055760767553371275 0.01722225122558463 -0.10104389310185183 0.09147686584921788 nan nan 1626982700.453423
100 active 0 -30.0 nan nan 0.38677185063210245 -0.04560039790567968 0.01933331723269993 -0.09337615332521339 0.07703022903767476 nan nan 1626982706.6762912
101 active 0 -30.0 nan nan 0.35540956259872375 -0.058983403618840746 0.01821292559486898 -0.09844241977073176 0.08675946958304792 nan nan 1626982713.055715
102 active 0 -30.0 nan nan 0.2949988887643651 -0.0641955842258931 0.0138566184710468 -0.09629581977312295 0.07626856584242503 nan nan 1626982719.1764953
103 active 0 -30.0 nan nan 0.36669562223460717 -0.06297546557185325 0.014898200693316266 -0.10605356505270264 0.08143613713808528 nan nan 1626982725.5444548
104 active 0 nan nan nan 0.3679072486786967 -0.06348864585374352 0.013746103509572283 -0.10290289597498833 0.09152223112132696 nan nan 1626982731.7194858
105 active 0 -30.0 nan nan 0.3732702504127438 -0.06201767330736973 0.023021413797450596 -0.09965755640018782 0.06867359283216057 nan nan 1626982738.190356
106 active 0 -30.0 nan nan 0.3099284333145321 -0.05464453509216477 0.0004934128109626013 -0.09585752947120713 0.0679393207690322 nan nan 1626982744.6641943
107 active 0 -30.0 nan nan 0.31874806405887596 -0.05850164667676855 0.0065548258962876416 -0.09596265755975554 0.07721158250961246 nan nan 1626982750.8664908
108 active 0 nan nan nan 0.3381054790113767 -0.05509685486098552 0.01396973644057331 -0.0977654426311352 0.08024167990678888 nan nan 1626982757.01663
109 active 0 -30.0 nan nan 0.35252281094408344 -0.060177589112866706 0.007321039653473194 -0.09278399340389286 0.07131086510288787 nan nan 1626982763.3113005
110 active 0 -30.0 nan nan 0.3128914972698073 -0.06007045373945141 0.0016073478652207651 -0.09523530548290046 0.0676853440742945 nan nan 1626982769.3307397
111 active 0 -30.0 nan nan 0.30872898756008393 -0.050450517078972086 -0.00523125343954256 -0.09857763079216995 0.07586832740101912 nan nan 1626982775.6129775
112 active 0 -30.0 nan nan 0.31320000542945303 -0.06298515512399679 0.0075795437720280745 -0.09483690934118302 0.0763249637052752 nan nan 1626982781.7201295
113 active 0 -30.0 nan nan 0.3396053251281421 -0.05807648634251812 0.004322511739968227 -0.09899644785593421 0.08144733053560071 nan nan 1626982787.912924
114 active 0 nan nan nan 0.3081282580477997 -0.06356230654623334 0.017482728244187395 -0.09604325074282387 0.09272541665906153 nan nan 1626982794.1271858
